,a,b
0,,
1,,
2,"TABLAS DE CORRELACIÓN 
TIGIE FRACCIONES ARANCELARIAS",
3,TIGIE 2022 (SA 2022),TIGIE 2020 (SA 2017)
6343,8455.21.03,8455.21.03
6344,8455.22.03,8455.22.03
6345,8455.30.03,8455.30.03
6346,8455.90.01,8455.90.01
6347,8455.90.99,8455.90.99
6348,8456.11.02,8456.11.02
6349,8456.12.02,8456.12.02
6350,8456.20.02,8456.20.02
6351,8456.30.01,8456.30.01
6352,8456.40.01,8456.40.01
6353,8456.50.01,8456.50.01
6354,8456.90.99,8456.90.99
6355,8457.10.01,8457.10.01
6356,8457.20.01,8457.20.01
6357,8457.30.02,8457.30.02
6358,8457.30.03,8457.30.03
6359,8457.30.99,8457.30.99
6360,8458.11.01,8458.11.01
6361,8458.11.99,8458.11.99
6362,8458.19.01,8458.19.01
6363,8458.19.99,8458.19.99
6364,8458.91.02,8458.91.02
6365,8458.99.99,8458.99.99
6366,8459.10.02,8459.10.02
6367,8459.21.02,8459.21.02
6368,8459.29.99,8459.29.99
6369,8459.31.01,8459.31.01
6370,8459.39.99,8459.39.99
6371,8459.41.01,8459.41.01
6372,8459.41.99,8459.41.99
6373,8459.49.01,8459.49.01
6374,8459.49.99,8459.49.99
6375,8459.51.01,8459.51.01
6376,8459.59.99,8459.59.99
6377,8459.61.01,8459.61.01
6378,8459.69.99,8459.69.99
6379,8459.70.91,8459.70.03
6380,8460.12.02,8460.12.02
6381,8460.19.99,8460.19.99
6382,8460.22.01,8460.22.01
6383,8460.23.91,8460.23.05
6384,8460.24.91,8460.24.02
6385,8460.29.99,8460.29.99
6386,8460.31.02,8460.31.02
6387,8460.39.99,8460.39.99
6388,8460.40.03,8460.40.03
6389,8460.90.99,8460.90.99
6390,8461.20.02,8461.20.02
6391,8461.30.02,8461.30.02
6392,8461.40.01,8461.40.01
6393,8461.50.02,8461.50.02
6394,8461.50.03,8461.50.03
6395,8461.50.99,8461.50.99
6396,8461.90.03,8461.90.03
6397,8461.90.99,8461.90.99
6398,8462.11.01,8462.10.01
6399,8462.11.99,8462.10.99
6400,8462.19.01,8462.10.01
6401,8462.19.99,8462.10.99
6402,8462.22.01,8462.21.07
6403,8462.22.01,8462.29.07
6404,8462.22.99,8462.21.99
6405,8462.22.99,8462.29.99
6406,8462.23.01,8462.21.07
6407,8462.23.99,8462.21.99
6408,8462.24.01,8462.21.99
6409,8462.25.01,8462.21.99
6410,8462.26.01,8462.21.01
6411,8462.26.02,8462.21.06
6412,8462.26.03,8462.21.07
6413,8462.26.99,8462.21.99
6414,8462.29.01,8462.21.01
6415,8462.29.01,8462.29.01
6416,8462.29.03,8462.29.03
6417,8462.29.05,8462.29.05
6418,8462.29.06,8462.21.06
6419,8462.29.06,8462.29.06
6420,8462.29.07,8462.21.07
6421,8462.29.07,8462.29.07
6422,8462.29.99,8462.21.99
6423,8462.29.99,8462.29.99
6424,8462.32.01,8462.31.99
6425,8462.32.01,8462.39.99
6426,8462.33.01,8462.31.01
6427,8462.39.01,8462.39.01
6428,8462.39.03,8462.39.03
6429,8462.39.99,8462.39.99
6430,8462.42.01,8462.41.04
6431,8462.42.01,8462.99.99
6432,8462.49.01,8462.49.01
6433,8462.49.02,8462.49.02
6434,8462.49.99,8462.49.99
6435,8462.49.99,8462.99.99
6436,8462.51.01,8462.21.06
6437,8462.51.02,8462.31.01
6438,8462.51.99,8462.10.99
6439,8462.51.99,8462.21.99
6440,8462.51.99,8462.31.99
6441,8462.51.99,8462.41.04
6442,8462.59.01,8462.29.05
6443,8462.59.02,8462.29.06
6444,8462.59.03,8462.39.01
6445,8462.59.99,8462.10.99
6446,8462.59.99,8462.29.99
6447,8462.59.99,8462.39.99
6448,8462.59.99,8462.49.99
6449,8462.61.01,8462.10.01
6450,8462.61.01,8462.29.03
6451,8462.61.01,8462.49.01
6452,8462.61.01,8462.91.02
6453,8462.61.99,8462.10.99
6454,8462.61.99,8462.21.99
6455,8462.61.99,8462.29.99
6456,8462.61.99,8462.31.99
6457,8462.61.99,8462.39.99
6458,8462.61.99,8462.41.04
6459,8462.61.99,8462.49.99
6460,8462.61.99,8462.91.01
6461,8462.61.99,8462.91.03
6462,8462.61.99,8462.91.99
6463,8462.62.01,8462.21.07
6464,8462.62.01,8462.29.07
6465,8462.62.01,8462.31.03
6466,8462.62.01,8462.39.03
6467,8462.62.01,8462.49.02
6468,8462.62.01,8462.99.04
6469,8462.62.99,8462.10.99
6470,8462.62.99,8462.21.99
6471,8462.62.99,8462.29.99
6472,8462.62.99,8462.31.99
6473,8462.62.99,8462.39.99
6474,8462.62.99,8462.41.04
6475,8462.62.99,8462.49.99
6476,8462.62.99,8462.99.99
6477,8462.63.01,8462.10.99
6478,8462.63.01,8462.21.99
6479,8462.63.01,8462.29.99
6480,8462.63.01,8462.31.99
6481,8462.63.01,8462.39.99
6482,8462.63.01,8462.41.04
6483,8462.63.01,8462.49.99
6484,8462.63.01,8462.99.99
6485,8462.69.99,8462.10.99
6486,8462.69.99,8462.21.99
6487,8462.69.99,8462.29.99
6488,8462.69.99,8462.31.99
6489,8462.69.99,8462.39.99
6490,8462.69.99,8462.41.04
6491,8462.69.99,8462.49.99
6492,8462.69.99,8462.99.99
6493,8462.90.99,8462.10.99
6494,8462.90.99,8462.21.99
6495,8462.90.99,8462.29.99
6496,8462.90.99,8462.31.99
6497,8462.90.99,8462.39.99
6498,8462.90.99,8462.41.04
6499,8462.90.99,8462.49.99
6500,8462.90.99,8462.99.99
6501,8463.10.01,8463.10.01
6502,8463.20.01,8463.20.01
6503,8463.30.04,8463.30.04
6504,8463.90.99,8463.90.99
6505,8464.10.01,8464.10.01
6506,8464.20.01,8464.20.01
6507,8464.90.99,8464.90.99
6508,8465.10.01,8465.10.01
6509,8465.20.01,8465.20.01
6510,8465.91.01,8465.91.01
6511,8465.91.99,8465.91.99
6512,8465.92.04,8465.92.04
6513,8465.93.02,8465.93.02
6514,8465.94.03,8465.94.03
6515,8465.95.01,8465.95.01
6516,8465.95.99,8465.95.99
6517,8465.96.01,8465.96.01
6518,8465.99.02,8465.99.02
6519,8465.99.99,8465.99.99
6520,8466.10.03,8466.10.03
6521,8466.10.99,8466.10.99
6522,8466.20.02,8466.20.02
6523,8466.30.03,8466.30.03
6524,8466.91.01,8466.91.01
6525,8466.92.01,8466.92.01
6526,8466.93.03,8466.93.03
6527,8466.93.04,8466.93.04
6528,8466.93.99,8466.93.99
6529,8466.94.01,8466.94.01
6530,8466.94.99,8466.94.99
6531,8467.11.02,8467.11.02
6532,8467.19.99,8467.19.99
6533,8467.21.01,8467.21.01
6534,8467.21.02,8467.21.02
6535,8467.21.03,8467.21.03
6536,8467.21.99,8467.21.99
6537,8467.22.02,8467.22.02
6538,8467.22.03,8467.22.03
6539,8467.22.99,8467.22.99
6540,8467.29.01,8467.29.01
6541,8467.29.02,8467.29.02
6542,8467.29.03,8467.29.03
6543,8467.29.99,8467.29.99
6544,8467.81.01,8467.81.01
6545,8467.89.02,8467.89.02
6546,8467.89.03,8467.89.03
6547,8467.89.99,8467.89.99
6548,8467.91.02,8467.91.02
6549,8467.92.01,8467.92.01
6550,8467.99.99,8467.99.99
6551,8468.10.01,8468.10.01
6552,8468.20.91,8468.20.02
6553,8468.80.91,8468.80.99
6554,8468.90.01,8468.90.01
6555,8470.10.03,8470.10.03
6556,8470.21.01,8470.21.01
6557,8470.29.99,8470.29.99
6558,8470.30.91,8470.30.01
6559,8470.50.01,8470.50.01
6560,8470.90.03,8470.90.03
6561,8470.90.99,8470.90.99
6562,8471.30.01,8471.30.01
6563,8471.41.01,8471.41.01
6564,8471.49.91,8471.49.01
6565,8471.50.01,8471.50.01
6566,8471.60.04,8471.60.04
6567,8471.70.01,8471.70.01
6568,8471.80.91,8471.80.04
6569,8471.90.99,8471.90.99
6570,8472.10.01,8472.10.01
6571,8472.10.99,8472.10.99
6572,8472.30.01,8472.30.01
6573,8472.30.02,8472.30.02
6574,8472.30.99,8472.30.99
6575,8472.90.01,8472.90.01
6576,8472.90.05,8472.90.05
6577,8472.90.10,8472.90.10
6578,8472.90.12,8472.90.12
6579,8472.90.13,8472.90.13
6580,8472.90.14,8472.90.14
6581,8472.90.16,8472.90.16
6582,8472.90.99,8472.90.99
6583,8473.21.01,8473.21.01
6584,8473.29.99,8473.29.99
6585,8473.30.04,8473.30.04
6586,8473.40.04,8473.40.04
6587,8473.50.03,8473.50.03
6588,8474.10.01,8474.10.01
6589,8474.10.99,8474.10.99
6590,8474.20.04,8474.20.04
6591,8474.20.07,8474.20.07
6592,8474.20.08,8474.20.08
6593,8474.20.99,8474.20.99
6594,8474.31.01,8474.31.01
6595,8474.32.01,8474.32.01
6596,8474.39.99,8474.39.99
6597,8474.80.01,8474.80.01
6598,8474.80.04,8474.80.04
6599,8474.80.99,8474.80.99
6600,8474.90.03,8474.90.03
6601,8475.10.01,8475.10.01
6602,8475.21.01,8475.21.01
6603,8475.29.01,8475.29.01
6604,8475.29.99,8475.29.99
6605,8475.90.01,8475.90.01
6606,8476.21.01,8476.21.01
6607,8476.29.99,8476.29.99
6608,8476.81.01,8476.81.01
6609,8476.89.99,8476.89.99
6610,8476.90.02,8476.90.02
6611,8477.10.01,8477.10.01
6612,8477.10.99,8477.10.99
6613,8477.20.01,8477.20.01
6614,8477.20.99,8477.20.99
6615,8477.30.01,8477.30.01
6616,8477.40.01,8477.40.01
6617,8477.51.01,8477.51.01
6618,8477.59.99,8477.59.99
6619,8477.80.06,8477.80.06
6620,8477.80.99,8477.80.99
6621,8477.90.04,8477.90.04
6622,8478.10.01,8478.10.01
6623,8478.10.02,8478.10.02
6624,8478.10.03,8478.10.03
6625,8478.10.04,8478.10.04
6626,8478.10.99,8478.10.99
6627,8478.90.01,8478.90.01
6628,8479.10.01,8479.10.01
6629,8479.10.03,8479.10.03
6630,8479.10.04,8479.10.04
6631,8479.10.07,8479.10.07
6632,8479.10.99,8479.10.99
6633,8479.20.01,8438.80.04
6634,8479.20.01,8479.20.01
6635,8479.30.01,8479.30.01
6636,8479.30.02,8479.30.02
6637,8479.30.99,8479.30.99
6638,8479.40.02,8479.40.02
6639,8479.50.01,8479.50.01
6640,8479.60.01,8479.60.01
6641,8479.71.01,8479.71.01
6642,8479.79.99,8479.79.99
6643,8479.81.02,8479.81.02
6644,8479.81.03,8479.81.03
6645,8479.81.04,8479.81.04
6646,8479.81.07,8479.81.07
6647,8479.81.99,8479.81.99
6648,8479.82.01,8479.82.01
6649,8479.82.02,8479.82.02
6650,8479.82.04,8479.82.04
6651,8479.82.05,8479.82.05
6652,8479.82.99,8479.82.99
6653,8479.83.01,8479.81.99
6654,8479.83.01,8479.89.99
6655,8479.89.03,8479.89.03
6656,8479.89.04,8479.89.04
6657,8479.89.06,8479.89.06
6658,8479.89.07,8479.89.07
6659,8479.89.08,8479.89.08
6660,8479.89.10,8479.89.10
6661,8479.89.12,8479.89.12
6662,8479.89.13,8479.89.13
6663,8479.89.14,8479.89.14
6664,8479.89.19,8479.89.19
6665,8479.89.20,8479.89.20
6666,8479.89.21,8479.89.21
6667,8479.89.22,8479.89.22
6668,8479.89.26,8479.89.26
6669,8479.89.27,8479.89.27
6670,8479.89.99,8479.89.99
6671,8479.90.18,8479.90.18
6672,8480.10.01,8480.10.01
6673,8480.20.01,8480.20.01
6674,8480.30.03,8480.30.03
6675,8480.41.02,8480.41.02
6676,8480.49.99,8480.49.99
6677,8480.50.03,8480.50.03
6678,8480.60.01,8480.60.01
6679,8480.60.99,8480.60.99
6680,8480.71.03,8480.71.03
6681,8480.79.99,8480.79.99
6682,8481.10.01,8481.10.01
6683,8481.10.99,8481.10.99
6684,8481.20.07,8481.20.07
6685,8481.20.10,8481.20.10
6686,8481.20.12,8481.20.12
6687,8481.20.99,8481.20.99
6688,8481.30.01,8481.30.01
6689,8481.30.99,8481.30.99
6690,8481.40.04,8481.40.04
6691,8481.40.99,8481.40.99
6692,8481.80.01,8481.80.01
6693,8481.80.02,8481.80.02
6694,8481.80.03,8481.80.03
6695,8481.80.04,8481.80.04
6696,8481.80.05,8481.80.05
6697,8481.80.06,8481.80.06
6698,8481.80.07,8481.80.07
6699,8481.80.08,8481.80.08
6700,8481.80.09,8481.80.09
6701,8481.80.10,8481.80.10
6702,8481.80.11,8481.80.11
6703,8481.80.12,8481.80.12
6704,8481.80.13,8481.80.13
6705,8481.80.14,8481.80.14
6706,8481.80.15,8481.80.15
6707,8481.80.16,8481.80.16
6708,8481.80.17,8481.80.17
6709,8481.80.18,8481.80.18
6710,8481.80.19,8481.80.19
6711,8481.80.20,8481.80.20
6712,8481.80.21,8481.80.21
6713,8481.80.22,8481.80.22
6714,8481.80.23,8481.80.23
6715,8481.80.24,8481.80.24
6716,8481.80.25,8481.80.25
6717,8481.80.99,8481.80.99
6718,8481.90.05,8481.90.05
6719,8482.10.02,8482.10.02
6720,8482.10.99,8482.10.99
6721,8482.20.01,8482.20.01
6722,8482.20.03,8482.20.03
6723,8482.20.99,8482.20.99
6724,8482.30.01,8482.30.01
6725,8482.40.01,8482.40.01
6726,8482.50.91,8482.50.01
6727,8482.80.91,8482.80.01
6728,8482.91.02,8482.91.02
6729,8482.99.01,8482.99.01
6730,8482.99.99,8482.99.99
6731,8483.10.08,8483.10.08
6732,8483.20.01,8483.20.01
6733,8483.30.04,8483.30.04
6734,8483.40.09,8483.40.09
6735,8483.50.03,8483.50.03
6736,8483.60.01,8483.60.01
6737,8483.60.02,8483.60.02
6738,8483.60.99,8483.60.99
6739,8483.90.03,8483.90.03
6740,8484.10.01,8484.10.01
6741,8484.20.01,8484.20.01
6742,8484.90.99,8484.90.99
6743,8485.10.01,8463.90.99
6744,8485.20.01,8477.80.99
6745,8485.30.01,8475.29.99
6746,8485.30.01,8479.89.99
6747,8485.80.99,8441.80.01
6748,8485.80.99,8465.99.99
6749,8485.80.99,8479.89.99
6750,8485.90.01,8466.94.99
6751,8485.90.01,8475.90.01
6752,8485.90.01,8477.90.04
6753,8485.90.01,8479.90.18
6754,8486.10.01,8486.10.01
6755,8486.20.03,8486.20.03
6756,8486.30.01,8486.30.01
6757,8486.40.01,8486.40.01
6758,8486.90.05,8486.90.05
6759,8487.10.02,8487.10.02
6760,8487.90.01,8487.90.01
6761,8487.90.02,8487.90.02
6762,8487.90.03,8487.90.03
6763,8487.90.04,8487.90.04
6764,8487.90.05,8487.90.05
6765,8487.90.06,8487.90.06
6766,8487.90.07,8487.90.07
6767,8487.90.99,8487.90.99
6768,8501.10.10,8501.10.10
6769,8501.20.05,8501.20.05
6770,8501.31.01,8501.31.01
6771,8501.31.02,8501.31.02
6772,8501.31.03,8501.31.03
6773,8501.31.04,8501.31.04
6774,8501.31.05,8501.31.05
6775,8501.31.99,8501.31.99
6776,8501.32.01,8501.32.01
6777,8501.32.02,8501.32.02
6778,8501.32.03,8501.32.03
6779,8501.32.04,8501.32.04
6780,8501.32.05,8501.32.05
6781,8501.32.06,8501.32.06
6782,8501.32.99,8501.32.99
6783,8501.33.01,8501.33.01
6784,8501.33.02,8501.33.02
6785,8501.33.03,8501.33.03
6786,8501.33.04,8501.33.04
6787,8501.33.05,8501.33.05
6788,8501.33.99,8501.33.99
6789,8501.34.01,8501.34.01
6790,8501.34.05,8501.34.05
6791,8501.34.99,8501.34.99
6792,8501.40.05,8501.40.05
6793,8501.40.08,8501.40.08
6794,8501.40.99,8501.40.99
6795,8501.51.02,8501.51.02
6796,8501.51.99,8501.51.99
6797,8501.52.04,8501.52.04
6798,8501.52.99,8501.52.99
6799,8501.53.04,8501.53.04
6800,8501.53.05,8501.53.05
6801,8501.53.99,8501.53.99
6802,8501.61.01,8501.61.01
6803,8501.62.01,8501.62.01
6804,8501.63.01,8501.63.01
6805,8501.64.01,8501.64.01
6806,8501.64.03,8501.64.03
6807,8501.64.99,8501.64.99
6808,8501.71.01,8501.31.01
6809,8501.72.01,8501.33.99
6810,8501.72.02,8501.34.01
6811,8501.72.99,8501.31.01
6812,8501.72.99,8501.32.01
6813,8501.72.99,8501.33.01
6814,8501.80.01,8501.64.03
6815,8501.80.02,8501.64.99
6816,8501.80.99,8501.61.01
6817,8501.80.99,8501.62.01
6818,8501.80.99,8501.63.01
6819,8502.11.01,8502.11.01
6820,8502.12.01,8502.12.01
6821,8502.13.01,8502.13.01
6822,8502.13.02,8502.13.02
6823,8502.13.99,8502.13.99
6824,8502.20.01,8502.20.01
6825,8502.20.99,8502.20.99
6826,8502.31.01,8502.31.01
6827,8502.31.99,8502.31.99
6828,8502.39.01,8502.39.01
6829,8502.39.02,8502.39.02
6830,8502.39.03,8502.39.03
6831,8502.39.91,8502.39.04
6832,8502.39.99,8502.39.99
6833,8502.40.01,8502.40.01
6834,8503.00.05,8503.00.05
6835,8503.00.99,8503.00.99
6836,8504.10.01,8504.10.01
6837,8504.10.99,8504.10.99
6838,8504.21.01,8504.21.01
6839,8504.21.02,8504.21.02
6840,8504.21.03,8504.21.03
6841,8504.21.99,8504.21.99
6842,8504.22.01,8504.22.01
6843,8504.23.01,8504.23.01
6844,8504.31.03,8504.31.03
6845,8504.31.04,8504.31.04
6846,8504.31.99,8504.31.99
6847,8504.32.01,8504.32.01
6848,8504.32.99,8504.32.99
6849,8504.33.02,8504.33.02
6850,8504.34.01,8504.34.01
6851,8504.40.01,8504.40.01
6852,8504.40.02,8504.40.02
6853,8504.40.05,8504.40.05
6854,8504.40.06,8504.40.06
6855,8504.40.07,8504.40.07
6856,8504.40.08,8504.40.08
6857,8504.40.09,8504.40.09
6858,8504.40.11,8504.40.11
6859,8504.40.13,8504.40.13
6860,8504.40.14,8504.40.14
6861,8504.40.15,8504.40.15
6862,8504.40.16,8504.40.16
6863,8504.40.17,8504.40.17
6864,8504.40.99,8504.40.99
6865,8504.50.91,8504.50.03
6866,8504.90.02,8504.90.02
6867,8504.90.07,8504.90.07
6868,8504.90.08,8504.90.08
6869,8504.90.99,8504.90.99
6870,8505.11.01,8505.11.01
6871,8505.19.99,8505.19.99
6872,8505.20.01,8505.20.01
6873,8505.90.91,8505.90.06
6874,8506.10.03,8506.10.03
6875,8506.30.01,8506.30.01
6876,8506.40.01,8506.40.01
6877,8506.50.01,8506.50.01
6878,8506.60.01,8506.60.01
6879,8506.80.91,8506.80.01
6880,8506.90.01,8506.90.01
6881,8507.10.01,8507.10.01
6882,8507.10.99,8507.10.99
6883,8507.20.01,8507.20.01
6884,8507.20.02,8507.20.02
6885,8507.20.04,8507.20.04
6886,8507.20.99,8507.20.99
6887,8507.30.01,8507.30.01
6888,8507.50.01,8507.50.01
6889,8507.60.01,8507.60.01
6890,8507.80.91,8507.40.01
6891,8507.80.91,8507.80.01
6892,8507.90.01,8507.90.01
6893,8508.11.01,8508.11.01
6894,8508.19.99,8508.19.99
6895,8508.60.91,8508.60.01
6896,8508.70.01,8508.70.01
6897,8508.70.02,8508.70.02
6898,8508.70.99,8508.70.99
6899,8509.40.02,8509.40.02
6900,8509.40.03,8509.40.03
6901,8509.40.99,8509.40.99
6902,8509.80.03,8509.80.03
6903,8509.80.04,8509.80.04
6904,8509.80.07,8509.80.07
6905,8509.80.09,8509.80.09
6906,8509.80.99,8509.80.99
6907,8509.90.02,8509.90.02
6908,8509.90.99,8509.90.99
6909,8510.10.01,8510.10.01
6910,8510.20.01,8510.20.01
6911,8510.30.01,8510.30.01
6912,8510.90.01,8510.90.01
6913,8510.90.02,8510.90.02
6914,8510.90.03,8510.90.03
6915,8510.90.04,8510.90.04
6916,8510.90.99,8510.90.99
6917,8511.10.03,8511.10.03
6918,8511.10.99,8511.10.99
6919,8511.20.04,8511.20.04
6920,8511.30.05,8511.30.05
6921,8511.40.04,8511.40.04
6922,8511.50.91,8511.50.05
6923,8511.80.01,8511.80.01
6924,8511.80.02,8511.80.02
6925,8511.80.03,8511.80.03
6926,8511.80.04,8511.80.04
6927,8511.80.99,8511.80.99
6928,8511.90.06,8511.90.06
6929,8512.10.03,8512.10.03
6930,8512.20.01,8512.20.01
6931,8512.20.02,8512.20.02
6932,8512.20.99,8512.20.99
6933,8512.30.01,8512.30.01
6934,8512.30.99,8512.30.99
6935,8512.40.01,8512.40.01
6936,8512.90.07,8512.90.07
6937,8513.10.01,8513.10.01
6938,8513.10.99,8513.10.99
6939,8513.90.01,8513.90.01
6940,8514.11.01,8514.10.99
6941,8514.19.01,8514.10.01
6942,8514.19.02,8514.10.02
6943,8514.19.03,8514.10.03
6944,8514.19.04,8514.10.04
6945,8514.19.99,8514.10.99
6946,8514.20.01,8514.20.01
6947,8514.20.02,8514.20.02
6948,8514.20.03,8514.20.03
6949,8514.20.04,8514.20.04
6950,8514.20.05,8514.20.05
6951,8514.20.99,8514.20.99
6952,8514.31.01,8514.30.99
6953,8514.32.01,8514.30.99
6954,8514.39.01,8514.30.01
6955,8514.39.99,8514.30.99
6956,8514.40.91,8514.40.02
6957,8514.90.04,8514.90.04
6958,8515.11.01,8515.11.01
6959,8515.11.99,8515.11.99
6960,8515.19.99,8515.19.99
6961,8515.21.01,8515.21.01
6962,8515.21.99,8515.21.99
6963,8515.29.99,8515.29.99
6964,8515.31.01,8515.31.01
6965,8515.31.02,8515.31.02
6966,8515.31.99,8515.31.99
6967,8515.39.01,8515.39.01
6968,8515.39.02,8515.39.02
6969,8515.39.99,8515.39.99
6970,8515.80.91,8515.80.03
6971,8515.90.01,8515.90.01
6972,8515.90.99,8515.90.99
6973,8516.10.02,8516.10.02
6974,8516.21.01,8516.21.01
6975,8516.29.99,8516.29.99
6976,8516.31.01,8516.31.01
6977,8516.32.91,8516.32.01
6978,8516.33.01,8516.33.01
6979,8516.40.01,8516.40.01
6980,8516.50.01,8516.50.01
6981,8516.60.01,8516.60.01
6982,8516.60.03,8516.60.03
6983,8516.60.99,8516.60.99
6984,8516.71.01,8516.71.01
6985,8516.72.01,8516.72.01
6986,8516.79.01,8516.79.01
6987,8516.79.99,8516.79.99
6988,8516.80.04,8516.80.04
6989,8516.90.07,8516.90.07
6990,8516.90.09,8516.90.09
6991,8516.90.99,8516.90.99
6992,8517.11.01,8517.11.01
6993,8517.13.01,8517.12.02
6994,8517.14.91,8517.12.02
6995,8517.18.91,8517.18.02
6996,8517.18.99,8517.18.99
6997,8517.61.01,8517.61.01
6998,8517.62.17,8517.62.17
6999,8517.69.07,8517.69.07
7000,8517.69.13,8517.69.13
7001,8517.69.14,8517.69.14
7002,8517.69.15,8517.69.15
7003,8517.69.16,8517.69.16
7004,8517.69.17,8517.69.17
7005,8517.69.91,8517.69.19
7006,8517.69.92,8517.69.05
7007,8517.69.99,8517.69.99
7008,8517.71.01,8517.70.09
7009,8517.71.01,8517.70.10
7010,8517.71.01,8517.70.11
7011,8517.71.01,8517.70.99
7012,8517.79.01,8517.70.09
7013,8517.79.02,8517.70.10
7014,8517.79.04,8517.70.12
7015,8517.79.91,8517.70.11
7016,8517.79.99,8517.70.99
7017,8518.10.04,8518.10.04
7018,8518.21.02,8518.21.02
7019,8518.22.02,8518.22.02
7020,8518.29.99,8518.29.99
7021,8518.30.03,8518.30.03
7022,8518.30.04,8518.30.04
7023,8518.30.99,8518.30.99
7024,8518.40.01,8518.40.01
7025,8518.40.02,8518.40.02
7026,8518.40.04,8518.40.04
7027,8518.40.99,8518.40.99
7028,8518.50.01,8518.50.01
7029,8518.90.01,8518.90.01
7030,8518.90.02,8518.90.02
7031,8518.90.99,8518.90.99
7032,8519.20.01,8519.20.01
7033,8519.30.02,8519.30.02
7034,8519.81.03,8519.81.03
7035,8519.81.04,8519.81.04
7036,8519.81.05,8519.81.05
7037,8519.81.06,8519.81.06
7038,8519.81.07,8519.81.07
7039,8519.81.08,8519.81.08
7040,8519.81.09,8519.81.09
7041,8519.81.10,8519.81.10
7042,8519.81.12,8519.81.12
7043,8519.81.13,8519.50.01
7044,8519.81.99,8519.81.99
7045,8519.89.01,8519.89.01
7046,8519.89.99,8519.89.99
7047,8521.10.02,8521.10.02
7048,8521.90.01,8521.90.01
7049,8521.90.02,8521.90.02
7050,8521.90.03,8521.90.03
7051,8521.90.04,8521.90.04
7052,8521.90.05,8521.90.05
7053,8521.90.99,8521.90.99
7054,8522.10.01,8522.10.01
7055,8522.90.07,8522.90.07
7056,8522.90.99,8522.90.99
7057,8523.21.02,8523.21.02
7058,8523.29.05,8523.29.05
7059,8523.29.07,8523.29.07
7060,8523.29.08,8523.29.08
7061,8523.29.91,8523.29.09
7062,8523.29.99,8523.29.99
7063,8523.41.01,8523.41.01
7064,8523.41.99,8523.41.99
7065,8523.49.99,8523.49.99
7066,8523.51.01,8523.51.01
7067,8523.51.99,8523.51.99
7068,8523.52.03,8523.52.03
7069,8523.59.01,8523.59.01
7070,8523.59.99,8523.59.99
7071,8523.80.99,8523.80.99
7072,8524.11.01,8529.90.99
7073,8524.11.01,8531.20.01
7074,8524.11.01,8537.10.99
7075,8524.11.01,8543.70.99
7076,8524.11.01,9013.80.02
7077,8524.12.01,8529.90.99
7078,8524.12.01,8531.20.01
7079,8524.12.01,8537.10.99
7080,8524.12.01,8543.70.99
7081,8524.12.01,9013.80.02
7082,8524.19.99,8529.90.99
7083,8524.19.99,8531.20.01
7084,8524.19.99,8537.10.99
7085,8524.19.99,8543.70.99
7086,8524.19.99,9013.80.02
7087,8524.91.01,8529.90.99
7088,8524.91.01,8531.20.01
7089,8524.91.01,8537.10.99
7090,8524.91.01,8543.70.99
7091,8524.91.01,9013.80.02
7092,8524.92.01,8529.90.99
7093,8524.92.01,8531.20.01
7094,8524.92.01,8537.10.99
7095,8524.92.01,8543.70.99
7096,8524.92.01,9013.80.02
7097,8524.99.99,8529.90.99
7098,8524.99.99,8531.20.01
7099,8524.99.99,8537.10.99
7100,8524.99.99,8543.70.99
7101,8524.99.99,9013.80.02
7102,8525.50.05,8525.50.05
7103,8525.60.05,8525.60.05
7104,8525.60.99,8525.60.99
7105,8525.81.01,8525.80.05
7106,8525.82.91,8525.80.05
7107,8525.83.91,8525.80.05
7108,8525.89.99,8525.80.05
7109,8526.10.01,8526.10.01
7110,8526.10.99,8526.10.99
7111,8526.91.01,8526.91.01
7112,8526.91.99,8526.91.99
7113,8526.92.01,8526.92.01
7114,8526.92.99,8526.92.99
7115,8527.12.01,8527.12.01
7116,8527.13.02,8527.13.02
7117,8527.13.99,8527.13.01
7118,8527.19.01,8527.19.01
7119,8527.19.99,8527.19.99
7120,8527.21.01,8527.21.01
7121,8527.21.99,8527.21.99
7122,8527.29.01,8527.29.01
7123,8527.29.99,8527.29.99
7124,8527.91.02,8527.91.02
7125,8527.92.01,8527.92.01
7126,8527.99.99,8527.99.99
7127,8528.42.02,8528.42.02
7128,8528.49.06,8528.49.06
7129,8528.49.07,8528.49.07
7130,8528.49.10,8528.49.10
7131,8528.49.11,8528.49.11
7132,8528.49.99,8528.49.99
7133,8528.52.02,8528.52.02
7134,8528.59.01,8528.59.01
7135,8528.59.02,8528.59.02
7136,8528.59.03,8528.59.03
7137,8528.59.04,8528.59.04
7138,8528.59.99,8528.59.99
7139,8528.62.01,8528.62.01
7140,8528.69.99,8528.69.99
7141,8528.71.01,8528.71.01
7142,8528.71.02,8528.71.02
7143,8528.71.03,8528.71.03
7144,8528.71.04,8528.71.04
7145,8528.71.99,8528.71.99
7146,8528.72.01,8528.72.01
7147,8528.72.02,8528.72.02
7148,8528.72.03,8528.72.03
7149,8528.72.04,8528.72.04
7150,8528.72.05,8528.72.05
7151,8528.72.06,8528.72.06
7152,8528.72.07,8528.72.07
7153,8528.72.99,8528.72.99
7154,8528.73.91,8528.73.01
7155,8529.10.09,8529.10.09
7156,8529.90.09,8529.90.09
7157,8529.90.13,8529.90.13
7158,8529.90.15,8529.90.15
7159,8529.90.16,8529.90.16
7160,8529.90.18,8529.90.18
