,a,b
0,,
1,,
2,"TABLAS DE CORRELACIÓN 
TIGIE FRACCIONES ARANCELARIAS",
3,TIGIE 2022 (SA 2022),TIGIE 2020 (SA 2017)
481,0708.10.01,0708.10.01
482,0708.20.01,0708.20.01
483,0708.90.99,0708.90.99
484,0709.20.02,0709.20.02
485,0709.30.01,0709.30.01
486,0709.40.02,0709.40.02
487,0709.51.01,0709.51.01
488,0709.52.01,0709.59.99
489,0709.53.01,0709.59.99
490,0709.54.01,0709.59.99
491,0709.55.01,0709.59.99
492,0709.56.01,0709.59.99
493,0709.59.99,0709.59.99
494,0709.60.03,0709.60.03
495,0709.60.04,0709.60.04
496,0709.60.99,0709.60.99
497,0709.70.01,0709.70.01
498,0709.91.01,0709.91.01
499,0709.92.01,0709.92.01
500,0709.93.01,0709.93.01
501,0709.99.99,0709.99.99
502,0710.10.01,0710.10.01
503,0710.21.01,0710.21.01
504,0710.22.01,0710.22.01
505,0710.29.99,0710.29.99
506,0710.30.01,0710.30.01
507,0710.40.01,0710.40.01
508,0710.80.01,0710.80.01
509,0710.80.99,0710.80.99
510,0710.90.02,0710.90.02
511,0711.20.01,0711.20.01
512,0711.40.01,0711.40.01
513,0711.51.01,0711.51.01
514,0711.59.99,0711.59.99
515,0711.90.03,0711.90.03
516,0711.90.99,0711.90.99
517,0712.20.01,0712.20.01
518,0712.31.01,0712.31.01
519,0712.32.01,0712.32.01
520,0712.33.01,0712.33.01
521,0712.34.01,0712.39.99
522,0712.39.99,0712.39.99
523,0712.90.01,0712.90.01
524,0712.90.99,0712.90.99
525,0713.10.01,0713.10.01
526,0713.10.99,0713.10.99
527,0713.20.01,0713.20.01
528,0713.31.01,0713.31.01
529,0713.32.01,0713.32.01
530,0713.33.01,0713.33.01
531,0713.33.99,0713.33.99
532,0713.34.01,0713.34.01
533,0713.35.01,0713.35.01
534,0713.39.99,0713.39.99
535,0713.40.01,0713.40.01
536,0713.50.01,0713.50.01
537,0713.60.01,0713.60.01
538,0713.90.99,0713.90.99
539,0714.10.01,0714.10.01
540,0714.10.99,0714.10.99
541,0714.20.01,0714.20.01
542,0714.20.99,0714.20.99
543,0714.30.01,0714.30.01
544,0714.30.99,0714.30.99
545,0714.40.01,0714.40.01
546,0714.40.99,0714.40.99
547,0714.50.01,0714.50.01
548,0714.50.99,0714.50.99
549,0714.90.02,0714.90.02
550,0714.90.99,0714.90.99
551,0801.11.01,0801.11.01
552,0801.12.01,0801.12.01
553,0801.19.99,0801.19.99
554,0801.21.01,0801.21.01
555,0801.22.01,0801.22.01
556,0801.31.01,0801.31.01
557,0801.32.01,0801.32.01
558,0802.11.01,0802.11.01
559,0802.12.01,0802.12.01
560,0802.21.01,0802.21.01
561,0802.22.01,0802.22.01
562,0802.31.01,0802.31.01
563,0802.32.01,0802.32.01
564,0802.41.01,0802.41.01
565,0802.42.01,0802.42.01
566,0802.51.01,0802.51.01
567,0802.52.01,0802.52.01
568,0802.61.01,0802.61.01
569,0802.62.01,0802.62.01
570,0802.70.01,0802.70.01
571,0802.80.01,0802.80.01
572,0802.91.01,0802.90.99
573,0802.92.01,0802.90.99
574,0802.99.99,0802.90.99
575,0803.10.01,0803.10.01
576,0803.90.99,0803.90.99
577,0804.10.02,0804.10.02
578,0804.20.02,0804.20.02
579,0804.30.01,0804.30.01
580,0804.40.01,0804.40.01
581,0804.50.05,0804.50.05
582,0804.50.99,0804.50.99
583,0805.10.01,0805.10.01
584,0805.21.01,0805.21.01
585,0805.22.01,0805.22.01
586,0805.29.99,0805.29.99
587,0805.40.01,0805.40.01
588,0805.50.03,0805.50.03
589,0805.90.99,0805.90.99
590,0806.10.01,0806.10.01
591,0806.20.01,0806.20.01
592,0807.11.01,0807.11.01
593,0807.19.99,0807.19.99
594,0807.20.01,0807.20.01
595,0808.10.01,0808.10.01
596,0808.30.01,0808.30.01
597,0808.40.01,0808.40.01
598,0809.10.01,0809.10.01
599,0809.21.01,0809.21.01
600,0809.29.99,0809.29.99
601,0809.30.03,0809.30.03
602,0809.40.01,0809.40.01
603,0810.10.01,0810.10.01
604,0810.20.01,0810.20.01
605,0810.30.01,0810.30.01
606,0810.40.01,0810.40.01
607,0810.50.01,0810.50.01
608,0810.60.01,0810.60.01
609,0810.70.01,0810.70.01
610,0810.90.99,0810.90.99
611,0811.10.01,0811.10.01
612,0811.20.01,0811.20.01
613,0811.90.99,0811.90.99
614,0812.10.01,0812.10.01
615,0812.90.99,0812.90.99
616,0813.10.02,0813.10.02
617,0813.20.02,0813.20.02
618,0813.30.01,0813.30.01
619,0813.40.91,0813.40.04
620,0813.50.01,0813.50.01
621,0814.00.01,0814.00.01
622,0901.11.03,0901.11.03
623,0901.11.04,0901.11.04
624,0901.11.05,0901.11.05
625,0901.11.99,0901.11.99
626,0901.12.02,0901.12.02
627,0901.12.03,0901.12.03
628,0901.12.04,0901.12.04
629,0901.12.99,0901.12.99
630,0901.21.02,0901.21.02
631,0901.21.03,0901.21.03
632,0901.21.04,0901.21.04
633,0901.21.99,0901.21.99
634,0901.22.02,0901.22.02
635,0901.22.03,0901.22.03
636,0901.22.04,0901.22.04
